Run/Fold,0,1,2,3,4,5,6,7,8,9,Avg
0,0.879629612,0.907407403,0.898148119,0.92592591,0.907407403,0.898148119,0.935185194,0.916666687,0.842592597,0.916666687,0.902777773
1,0.888888896,0.861111104,0.944444418,0.907407403,0.861111104,0.898148119,0.935185194,0.898148119,0.879629612,0.879629612,0.895370358
2,0.981481493,0.861111104,0.907407403,0.851851881,0.935185194,0.916666687,0.870370388,0.898148119,0.879629612,0.916666687,0.901851857
3,0.833333313,0.953703701,0.888888896,0.935185194,0.916666687,0.888888896,0.916666687,0.870370388,0.953703701,0.888888896,0.904629636
4,0.879629612,0.888888896,0.879629612,0.870370388,0.861111104,0.879629612,0.861111104,0.879629612,0.953703701,0.972222209,0.892592585
5,0.907407403,0.888888896,0.898148119,0.888888896,0.851851881,0.916666687,0.879629612,0.92592591,0.898148119,0.888888896,0.894444442
6,0.861111104,0.898148119,0.898148119,0.907407403,0.916666687,0.907407403,0.870370388,0.888888896,0.916666687,0.870370388,0.893518519
7,0.935185194,0.898148119,0.916666687,0.916666687,0.861111104,0.870370388,0.92592591,0.888888896,0.879629612,0.879629612,0.897222221
8,0.879629612,0.916666687,0.879629612,0.898148119,0.879629612,0.92592591,0.907407403,0.879629612,0.898148119,0.907407403,0.897222209
9,0.888888896,0.870370388,0.879629612,0.879629612,0.916666687,0.870370388,0.916666687,0.888888896,0.907407403,0.916666687,0.893518525
10,0.916666687,0.814814806,0.907407403,0.879629612,0.888888896,0.888888896,0.879629612,0.92592591,0.898148119,0.935185194,0.893518513
11,0.879629612,0.898148119,0.907407403,0.888888896,0.907407403,0.907407403,0.861111104,0.916666687,0.944444418,0.82407409,0.893518513
12,0.888888896,0.888888896,0.916666687,0.944444418,0.842592597,0.898148119,0.935185194,0.879629612,0.888888896,0.842592597,0.892592591
13,0.861111104,0.888888896,0.861111104,0.916666687,0.916666687,0.907407403,0.870370388,0.916666687,0.870370388,0.907407403,0.891666675
14,0.851851881,0.916666687,0.879629612,0.907407403,0.870370388,0.888888896,0.888888896,0.898148119,0.935185194,0.898148119,0.893518519
15,0.916666687,0.898148119,0.92592591,0.898148119,0.888888896,0.879629612,0.879629612,0.879629612,0.92592591,0.916666687,0.900925916
16,0.935185194,0.851851881,0.907407403,0.898148119,0.870370388,0.898148119,0.898148119,0.861111104,0.944444418,0.842592597,0.890740734
17,0.879629612,0.861111104,0.907407403,0.907407403,0.916666687,0.888888896,0.888888896,0.907407403,0.907407403,0.898148119,0.896296293
18,0.879629612,0.92592591,0.861111104,0.888888896,0.851851881,0.92592591,0.92592591,0.870370388,0.842592597,0.907407403,0.887962961
19,0.861111104,0.851851881,0.907407403,0.888888896,0.92592591,0.916666687,0.879629612,0.851851881,0.907407403,0.898148119,0.88888889
Avg,0.890277776,0.887037036,0.898611102,0.899999997,0.88935186,0.898611107,0.896296296,0.892129627,0.903703696,0.89537037,0.895138887
